officeName,pincode,officeType,deliveryStatus,divisionName,regionName,circleName,taluk,districtName,stateName                            
Ada B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,ANDHRA PRADESH                                       
Andugulpet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,ANDHRA PRADESH                 
